number,kind,line1,line2,line3
348,other,"Dhelvanen gives you an amethyst pendant.","Dhelvanen gives %s an amethyst pendant.",""
349,other,"You give Dhelvanen a greater dragon scale.","%s gives Dhelvanen a greater dragon scale.",""
350,other,"Dhelvanen gives you a pair of crimson bracers.","Dhelvanen gives %s a pair of crimson bracers.",""
351,other,"Dhelvanen says, ""Thank you, adventurer, my revenge is complete!""","Dhelvanen says to %s, ""Thank you, adventurer, my revenge is complete!""",""
352,other,"","The %s fires a %s at you for %d damage!","The %s fires a %s at %s for %s damage!"
353,other,"","The violet spore explodes, causing you %d damage!",""
354,other,"A %s moves in from %s!","The %s moves out to %s!","The violet spore moves after you!"
355,other,"","","The violet spore collapses in on itself."
356,other,"A %s moves in from %s!","The %s moves out to %s!",""
357,other,"The %s smashes you with a branch for %d damage!","The %s smashes %s with a branch for %s damage!","The black tree collapses in a billowing cloud of spores!"
358,other,"A %s leaps in from %s!","The %s leaps out to %s!",""
359,other,"The %s bites you with its toothy maw for %d damage!","The %s bites %s with its toothy maw for %s damage!","The toad croaks in agony, and collapses wetly."
360,other,"The %s %slashes at you with its tongue, but your armour deflects!","The %s %slashes at %s with its tongue, but %s armour deflects!","The %s %slashes at you, but you dodge!"
361,other,"The %s %slashes at %s, %sbut %s dodges!","The %s %slashes at you with its %stongue!","The %s %slashes at %s with its %stongue!"
362,other,"The %s lashes you with its tongue for %d damage!","The %s lashes %s with its tongue for %s damage!",""
363,other,"","The %s engulfs you!","The %s %s %s!"
365,spell,"You are freed!","","You are engulfed!"
366,other,"A %s stomps in from %s!","The %s stomps out to %s!",""
367,other,"The %s smacks you with a wet limb for %d damage!","The %s smacks %s with a wet limb for %s damage!","The shambling mound falls to pieces!"
368,other,"The %s hurls a ball of slime at you for %d damage!","The %s hurls a ball of slime at %s for %s damage!",""
369,other,"The %s hurls a ball of slime at you!","The %s %shurls a ball of slime at %s!","The %s hurls a ball of slime at you, but you dodge!"
370,other,"The %s %shurls a ball of slime at %s, %sbut %s dodges!","The %s hurls a ball of slime at you!","The %s %shurls a ball of slime at %s!"
371,other,"A %s swoops in from %s!","The %s swoops out to %s!",""
372,other,"The %s swoops down and rips you for %d damage!","The %s swoops down and rips %s for %s damage!","The winged horror utters a shrill cry, and falls to its death!"
373,other,"Acid sears %s for %d damage!","Acid sears you for %d damage!","Acid sears %s for %s damage!"
374,other,"The %s swoops down and bites you for %d damage!","The %s swoops down and bites %s for %s damage!","The winged horror utters a shrill cry, and plunges to its death!"
375,other,"The %s swoops towards you!","The %s %sswoops towards %s!","The %s swoops towards you, but you dodge!"
376,other,"The %s %sswoops towards %s, %sbut %s dodges!","The %s swoops towards you!","The %s %sswoops towards %s!"
377,other,"A %s slithers in from %s!","The %s slithers out to %s!",""
378,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The serpent hisses, and dies."
379,other,"A %s scuttles in from %s!","The %s scuttles out to %s!",""
380,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The giant ant collapses, its shell cracked and oozing!"
381,other,"","The %s spits thick webbing at you!","The %s spits %s at %s!"
382,spell,"You are freed from the webbing!","","You are trapped in webbing!"
383,other,"A %s scuttles in from %s!","The %s scuttles out to %s!",""
384,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The spider screeches madly, and dies!"
385,other,"","The %s spits venom in your eyes!","The %s %s venom in %s's eyes!"
386,other,"A %s slithers in from %s!","The %s slithers out to %s!",""
387,other,"The %s skewers you for %d damage!","The %s skewers %s for %s damage!","The serpentkin hunter eyes you evilly, and dies."
388,spell,"You are no longer dizzy and weak!","","You feel dizzy and weak!"
389,cast,"","The %s casts %s on you for %d damage!","The %s casts %s on %s for %s damage!"
390,other,"The %s cleaves you for %d damage!","The %s cleaves %s for %s damage!","The dark warrior dies with a moan!"
391,other,"The %s all-out cleaves you for %d damage!","The %s all-out cleaves %s for %s damage!",""
392,other,"A %s strides in from %s!","The %s strides out to %s!",""
393,cast,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The dark warlock tries to cast one last spell, but dies."
394,other,"","The %s fires a %s at you for %d damage!","The %s fires a %s at %s for %s damage!"
395,spell,"","The %s throws a fireball!",""
396,other,"","The %s stalks out to %s!",""
397,other,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The dark assassin spits up blood and dies!"
398,other,"The %s all-out slices you for %d damage!","The %s all-out slices %s for %s damage!",""
399,other,"The %s critically slices you for %d damage!","The %s critically slices %s for %s damage!",""
400,other,"A %s creeps in from %s!","The %s creeps out to %s!",""
401,cast,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The dark mage tries to cast one last spell, but dies!"
402,other,"A %s strides in from %s!","The %s strides out to %s!",""
403,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The elite guard clutches at you, spits up blood, and dies!"
404,other,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",""
405,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The guard captain growls at you menacingly, and collapses!"
406,other,"A %s shambles in from %s!","The %s shambles out to %s!",""
407,other,"The %s hits you with a twisted fist for %d damage!","The %s hits %s with a twisted fist for %s damage!","The mutant sighs softy, and dies!"
408,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The giant rattlesnake rattles on last time, then is still."
409,other,"","%s explodes violently!",""
410,other,"A %s runs in from %s!","The %s runs out to %s!",""
411,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The obsidian demon's broken shards evaporate in a puff of smoke!"
412,other,"A %s stomps in from %s!","The %s stomps out to %s!",""
413,other,"The %s smashes you with its fist for %d damage!","The %s smashes %s with its fist for %s damage!","The magma man pulsates, and dissolves into a puddle!"
414,other,"","You take %d fire damage!","%s takes %s fire damage!"
415,other,"","The %s hurls a %s at you for %d damage!","The %s hurls a %s at %s for %s damage!"
416,other,"A %s moves in from %s!","The %s moves in from %s!",""
417,other,"The %s sears you with its burning arm for %d damage!","The %s sears %s with its burning arm for %s damage!","The flame elemental utters an eerie wail, and dissipates!"
418,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The fire bat explodes in flame!"
419,other,"","The %s %s on you for %d damage!","The %s %s on %s for %s damage!"
420,other,"A %s stalks in from %s!","The %s stalks out to %s!",""
421,other,"The %s savagely rips you for %d damage!","The %s savagely rips %s for %s damage!","The greater hellhound collapses with a wail!"
422,other,"A %s rolls in from %s!","The %s rolls out to %s!",""
423,other,"The %s touches you with a pseudopod for %d damage!","The %s touches %s with a pseudopod for %s damage!","The pyro jelly quivers, and dissolves!"
424,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The serpentkin warrior hisses loudly, and dies!"
425,other,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",""
426,other,"The %s whacks you for %d damage!","The %s whacks %s for %s damage!","The serpentkin shaman tries one last spell, but dies!"
427,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The serpentkin chieftain hisses loudly, and dies!"
428,other,"The %s whacks you for %d damage!","The %s whacks %s for %s damage!","The serpentkin witchdoctor hisses evilly, and dies!"
429,other,"A %s crawls in from %s!","The %s crawls out to %s!",""
430,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The glowing worm curls up and dies!"
431,other,"The %s lashes you with its tail for %d damage!","The %s lashes %s with its tail for %s damage!",""
432,other,"A %s scuttles in from %s!","The %s scuttles out to %s!",""
433,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The crystal spider shatters into a thousand shards!"
434,other,"A %s slides in from %s!","The %s slides out to %s!",""
435,other,"The %s whaps you with a pseudopod for %d damage!","The %s whaps %s with a pseudopod for %s damage!","The glittering ooze solidifies and breaks into pieces!"
436,commands,"go waterfall","enter waterfall","pass waterfall"
437,other,"You walk through the waterfall!","%s walks through the waterfall!","%s in through the waterfall!"
438,commands,"go stairs","go path","go steps"
439,other,"You follow the hidden path, and arrive at the stair landing!","%s follows a hidden path!","%s walks in off of the path!"
440,other,"You eat the yellow fungus, and feel better!","","%s eats some yellow fungus!"
441,spell,"You can move again.","","You are paralyzed!"
442,spell,"You are paralyzed!","","You are paralyzed!"
443,other,"You eat the red fungus.","","%s eats some red fungus."
444,other,"You give Dhelvanen a greater hellhound hide.","%s gives Dhelvanen a greater hellhound hide.",""
445,other,"Dhelvanen gives a magma amulet to you.","Dhelvanen gives %s a magma amulet.",""
446,other,"The heat is too intense!","",""
447,other,"As you walk into the heat, your magma amulet glows!","%s disappears into the shimmering heat!","%s enters through the heat!"
449,other,"The %s whacks you for %d damage!","The %s whacks %s for %s damage!","The wounded worker lets out a loud cry, and dies!"
450,commands,"push brick","move brick",""
451,other,"You push a brick in the wall. It moves in slightly!","%s pushes on the wall.",""
452,cast,"","The %s casts %s, and a wave of energy sweeps the room!",""
453,other,"","The %s brings %s upon you for %d damage!","The %s brings %s upon %s for %s damage!"
454,cast,"","The %s casts %s, and a dark force sweeps through the room!",""
455,other,"A dark bishop strides in from %s!","The dark bishop strides out to %s!",""
456,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The dark bishop utters an agonized howl, and is consumed in black flame!"
457,other,"The %s all-out smashes you for %d damage!","The %s all-out smashes %s for %s damage!",""
